MARITAL;AGE;GENDER1;HOMPOP;HAPPY;HEALTH;SATJOB;REALINC
5;22;1;3;1;2;1;155139.9731
5;21;2;5;1;1;1;155139.9731
1;42;1;4;2;2;3;58800
1;49;1;3;1;0;0;68600
4;70;2;1;1;0;0;26950
2;50;1;2;1;4;0;13475
1;35;1;4;2;0;1;15925
4;24;2;4;2;3;2;2695
1;28;2;2;3;3;2;245
5;28;2;1;2;2;2;15925
3;55;1;2;1;4;0;245
5;36;2;5;2;0;2;26950
5;28;2;3;3;3;8;4410
3;59;2;1;1;2;0;11637.5
5;52;2;4;3;0;3;0
5;35;2;3;2;2;1;26950
1;36;1;4;2;0;2;26950
3;47;2;4;2;0;1;22050
1;55;2;6;2;3;2;33075
5;18;2;6;2;1;0;11637.5
4;76;1;5;3;4;2;0
5;39;1;3;2;1;2;22050
1;54;1;3;2;0;3;49000
1;45;1;4;1;0;2;68600
1;71;1;2;1;0;0;58800
1;42;2;2;2;2;2;0
5;22;2;5;2;1;1;155139.9731
1;50;2;3;1;1;1;0
2;81;2;1;3;0;0;22050
4;44;2;2;2;2;1;4410
5;78;1;1;2;2;0;40425
3;63;2;1;1;0;1;26950
1;73;1;2;1;0;0;155139.9731
1;40;2;3;2;3;2;33075
1;42;2;1;2;0;2;33075
3;62;1;1;2;2;1;33075
3;52;1;2;2;3;1;49000
5;49;2;2;1;0;1;22050
5;27;2;1;2;2;2;15925
5;30;2;3;2;0;1;22050
1;29;1;2;1;1;1;49000
3;69;2;2;3;0;0;58800
3;51;2;2;2;0;2;155139.9731
3;57;2;1;1;1;1;155139.9731
1;44;1;2;1;2;1;155139.9731
1;73;2;2;1;0;1;155139.9731
1;73;1;2;2;2;1;155139.9731
1;68;1;2;1;0;1;155139.9731
3;84;1;2;2;0;0;33075
3;63;1;1;1;2;0;155139.9731
3;57;1;1;2;1;2;33075
1;42;2;3;2;0;2;155139.9731
1;45;2;4;1;1;2;155139.9731
5;38;1;3;1;0;3;68600
1;46;1;4;1;2;1;155139.9731
1;51;2;3;2;1;0;49000
1;41;1;4;2;2;1;18375
3;75;2;1;3;3;0;13475
5;81;2;1;2;2;0;4410
1;41;2;3;1;0;9;0
2;67;2;1;3;2;0;33075
